pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
412.418660,214.051553,260.970965,220.054636,358.890000,203.100000,455.930936,126.490346,410.970000,273.930000,342.340658,273.046381,299.762868,176.689688
414.110000,214.820000,260.299352,220.835673,358.800000,204.990000,455.115623,127.596522,411.970000,275.990000,342.340658,275.832054,299.762868,178.274694
416.060000,215.680000,255.933871,222.137402,358.780000,206.930000,455.319452,128.465660,412.860000,277.970000,342.939506,279.082005,299.990025,179.683588
418.150000,216.840000,256.269677,220.054636,358.800000,208.900000,455.115623,128.939736,413.980000,279.890000,343.538355,281.403399,299.990025,181.092482
420.090000,217.750000,255.598065,221.356365,358.770000,210.980000,455.013709,129.729861,414.910000,282.000000,343.538355,284.653350,299.535711,181.796929
422.220000,218.890000,254.590646,222.918439,358.890000,212.830000,454.359614,131.477336,411.862156,286.900380,343.538355,286.046187,299.535711,184.262494
424.050000,219.770000,252.575809,224.480514,358.660000,214.950000,453.882969,132.031641,410.276993,291.289501,343.538355,287.439023,300.619202,188.230094
426.160000,220.870000,251.232584,225.521897,358.600000,217.010000,453.565205,133.017071,411.182800,293.571844,342.939506,289.296138,303.670401,191.708845
429.437147,220.833613,248.881940,225.782243,358.710000,219.040000,453.168001,133.879323,412.088607,296.732011,342.340658,289.760417,302.055061,194.352695
434.526788,220.586993,245.523878,226.823626,358.770000,221.090000,452.214710,135.234290,412.767963,299.716613,342.340658,292.546089,301.875578,196.300796
438.750000,220.390000,243.844847,227.604663,358.770000,222.900000,450.864214,136.958794,412.960000,302.720000,341.142961,293.938926,301.696096,197.553146
439.110000,219.990000,241.494203,229.947775,351.907538,226.888574,450.467009,139.237602,412.980000,305.840000,339.945263,296.260320,301.696096,198.944646
442.638403,220.093752,240.150978,232.551233,349.201323,230.851632,449.904997,141.057100,412.950000,308.680000,339.346415,296.724598,301.696096,201.031897
448.841403,220.586993,239.143559,234.894345,349.502014,235.280933,448.863511,142.325949,413.100000,311.720000,339.346415,297.653156,301.696096,202.562547
452.210000,221.020000,238.807753,237.237457,347.397180,236.679659,448.268376,144.402247,414.793393,311.372273,339.945263,301.831665,302.056299,206.430875
458.145180,221.096228,237.464528,240.101261,344.991656,238.777749,447.524458,146.017146,414.077694,314.701502,339.945263,303.224501,302.056299,207.649740
463.312426,219.275277,236.792916,241.402990,341.684060,238.777749,447.226890,148.900893,413.719844,316.643553,339.945263,304.153059,302.056299,208.259172
465.661174,218.911087,235.449691,241.923681,341.082679,240.176475,446.482972,151.207891,413.004145,319.140475,339.945263,304.153059,302.252817,209.782754
468.949421,217.636422,235.113885,242.184027,340.180607,242.041444,445.590269,153.399539,412.646295,321.914833,340.544112,305.081616,302.449336,210.849260
473.412042,216.179661,233.434853,242.444373,339.579226,245.072018,445.887837,154.437688,413.361994,323.024576,340.544112,308.331568,302.449336,212.372841
